Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,202310240DEN,0,0,41,90,.456,10,29,.345,15,20,.750,13,31,44,23,5,4,12,18,107,0,0,.541,.511,.322,.222,28.3,77.5,51.2,56.1,5.2,7.0,10.8,100.0,111.1,123.6
DEN,202310240DEN,1,1,48,91,.527,14,34,.412,9,12,.750,9,33,42,29,9,6,12,15,119,0,0,.618,.604,.374,.132,22.5,71.7,48.8,60.4,9.3,9.8,11.1,100.0,123.6,111.1
PHO,202310240GSW,1,0,42,95,.442,11,33,.333,13,17,.765,17,43,60,23,5,7,19,22,108,0,0,.527,.500,.347,.179,35.4,70.5,55.0,54.8,4.9,12.1,15.6,100.0,106.2,102.3
GSW,202310240GSW,0,1,36,101,.356,10,43,.233,22,28,.786,18,31,49,19,11,6,11,23,104,0,0,.459,.406,.426,.277,29.5,64.6,45.0,52.8,10.8,9.7,8.8,100.0,102.3,106.2
HOU,202310250ORL,0,0,32,79,.405,12,34,.353,10,16,.625,7,24,31,19,6,3,19,24,86,0,0,.500,.481,.430,.203,14.9,58.5,35.2,59.4,6.3,5.7,18.1,100.0,90.4,121.9
ORL,202310250ORL,1,1,42,87,.483,9,34,.265,23,26,.885,17,40,57,19,8,6,16,20,116,0,0,.589,.534,.391,.299,41.5,85.1,64.8,45.2,8.4,13.3,14.0,100.0,121.9,90.4
BOS,202310250NYK,1,0,37,77,.481,12,39,.308,22,26,.846,7,39,46,18,6,11,13,22,108,0,0,.611,.558,.506,.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,100.0,113.2,109.0
NYK,202310250NYK,0,1,36,97,.371,18,41,.439,14,26,.538,17,30,47,24,9,0,11,22,104,0,0,.480,.464,.423,.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,100.0,109.0,113.2
WAS,202310250IND,0,0,44,96,.458,9,24,.375,23,29,.793,11,34,45,28,6,9,14,11,120,0,0,.552,.505,.250,.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,100.0,108.5,129.3
IND,202310250IND,1,1,56,107,.523,20,43,.465,11,12,.917,10,41,51,38,10,8,12,23,143,0,0,.637,.617,.402,.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,100.0,129.3,108.5
