Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,Predicted_Winner,Actual_Winner
112.93,93,108.4,101,home,away
113.37,120,118.65,131,away,away
112.73,106,119.03,104,away,home
107.37,114,100.64,106,home,home
122.8,132,120.03,105,home,home
109.93,93,107.27,96,home,away
116.56,106,113.67,131,home,away
120.37,120,116.06,129,home,away
117.74,128,111.02,115,home,home
118.02,116,109.1,102,home,home
103.27,99,109.67,111,away,away
117.89,95,106.8,103,home,away
108.52,115,117.85,106,away,home
104.93,116,105.71,107,away,home
128.23,150,123.51,116,home,home
102.53,121,108.2,114,away,home
107.42,116,108.31,107,away,home
105.45,97,111.59,115,away,away
108.92,107,106.72,89,home,home
130.61,124,113.23,92,home,home
122.32,111,108.11,93,home,home
115.12,124,117.43,128,away,away
108.94,106,124.08,114,away,away
109.29,114,108.02,103,home,home
124.79,112,114.66,104,home,home
112.59,133,107.89,115,home,home
111.65,101,103.54,120,home,away
120.59,117,113.15,115,home,home
114.05,118,117.92,124,away,away
107.92,107,99.11,115,home,away
109.57,118,101.11,88,home,home
119.73,126,117.22,119,home,home
111.1,118,106.89,111,home,home
121.75,122,117.83,96,home,home
113.83,122,115.04,131,away,away
117.68,141,115.44,117,home,home
113.94,114,109.45,102,home,home
117.86,120,111.19,119,home,home
116.75,104,115.08,113,home,away
103.9,95,115.59,111,away,away
122.32,104,116.53,118,home,away
122.53,107,111.05,118,home,away
103.48,92,118.3,100,away,away
124.05,96,121.27,105,home,away
112.43,111,110.83,126,home,away
112.96,109,108.65,106,home,home
112.02,120,121.01,113,away,home
107.3,96,108.88,103,away,away
115.27,103,114.21,112,home,away
110.02,95,111.18,118,away,away
118.95,114,111.18,97,home,home
113.01,104,117.52,102,away,home
109.59,117,117.62,123,away,away
116.33,109,114.71,88,home,home
107.48,117,106.61,128,home,away
115.3,121,112.14,100,home,home
125.85,122,117.67,112,home,home
109.59,96,107.33,129,home,away
124.45,130,109.2,125,home,home
119.17,98,117.43,110,home,away
112.17,123,120.95,130,away,away
114.3,125,112.74,90,home,home
112.14,99,106.93,111,home,away
121.02,127,119.16,90,home,home
109.72,80,109.78,106,away,away
104.81,111,114.27,114,away,away
110.27,125,110.83,114,away,home
104.54,104,97.53,103,home,home
113.15,106,109.38,103,home,home
108.55,106,118.91,110,away,away
105.44,117,114.25,125,away,away
116.73,121,114.41,113,home,home
122.18,118,112.65,108,home,home
112.01,107,113.61,104,away,home
123.15,123,112.77,118,home,home
109.15,95,115.7,119,away,away
118.06,114,113.75,128,home,away
118.68,134,112.49,128,home,home
125.54,110,112.64,92,home,home
119.96,96,113.05,115,home,away
118.44,129,113.34,124,home,home
110.76,96,111.25,132,away,away
116.75,127,115.94,113,home,home
121.42,128,104.02,121,home,home
113.73,104,112.57,116,home,away
120.36,126,115.4,106,home,home
105.43,114,98.96,101,home,home
105.1,121,105.05,95,home,home
117.91,119,104.06,114,home,home
118.07,101,109.06,90,home,home
114.67,119,116.79,116,away,home
115.84,122,115.79,99,home,home
118.82,102,121.25,121,away,away
116.09,123,106.58,116,home,home
108.54,112,112.73,97,away,home
112.6,117,109.96,95,home,home
122.1,121,110.82,118,home,home
120.59,107,111.5,115,home,away
110.64,105,103.66,98,home,home
108.89,105,110.15,104,away,home
119.72,126,104.06,106,home,home
112.6,112,110.75,101,home,home
108.67,111,112.61,118,away,away
111.81,108,106.94,96,home,home
112.5,115,114.71,111,away,home
115.58,122,111.18,139,home,away
115.86,123,114.28,103,home,home
116.36,104,107.6,94,home,home
116.17,105,113.15,113,home,away
120.27,83,120.78,107,away,away
100.82,122,105.27,84,away,home
120.6,128,112.15,109,home,home
118.26,110,122.28,112,away,away
112.67,104,96.45,103,home,home
112.17,106,116.51,117,away,away
119.02,119,107.3,94,home,home
102.69,106,114.06,102,away,home
119.33,120,113.22,98,home,home
111.08,98,114.93,102,away,away
118.23,132,110.6,122,home,home
112.16,93,105.58,110,home,away
112.7,113,113.6,98,away,home
126.92,120,118.83,133,home,away
113.94,137,111.03,116,home,home
111.62,111,112.18,116,away,away
104.43,109,113.07,105,away,home
113.97,120,103.88,102,home,home
111.15,109,114.69,127,away,away
110.94,109,106.77,97,home,home
119.4,123,115.39,113,home,home
117.61,111,108.89,117,home,away
115.47,117,119.19,109,away,home
121.09,118,108.96,112,home,home
112.42,112,117.91,128,away,away
111.52,113,113.17,106,away,home
119.91,121,119.01,126,home,away
111.2,108,114.56,122,away,away
106.65,109,102.87,111,home,away
121.73,111,119.44,119,home,away
106.34,92,104.62,122,home,away
129.83,101,128.6,118,home,away
122.51,117,110.18,106,home,home
113.75,95,113.58,116,home,away
113.37,144,114.63,122,away,home
113.58,109,111.3,95,home,home
111.4,114,114.57,116,away,away
114.32,129,113.66,120,home,home
117.98,115,111.66,104,home,home
117.87,125,122.53,136,away,away
126.96,142,127.14,130,away,home
119.03,92,117.35,127,home,away
120.77,119,123.94,144,away,away
130.51,113,121.81,109,home,home
119.62,133,111.5,110,home,home
114.04,95,113.47,111,home,away
113.16,118,113.52,93,away,home
121.5,121,109.81,106,home,home
121.99,123,112.9,115,home,home
108.7,103,111.06,113,away,away
112.26,109,114.41,112,away,away
120.1,118,103.64,103,home,home
130.85,124,118.72,97,home,home
119.94,102,102.93,94,home,home
123.2,118,114.38,112,home,home
126.52,125,124.68,114,home,home
111.56,129,119.0,115,away,home
103.22,109,107.1,115,away,away
114.55,112,114.46,116,home,away
111.38,132,103.59,91,home,home
122.51,121,113.6,111,home,home
121.0,150,113.69,145,home,home
117.58,103,111.64,120,home,away
111.96,118,111.34,106,home,home
107.09,110,115.86,101,away,home
122.54,118,120.58,133,home,away
111.41,125,116.85,120,away,home
110.68,112,106.15,119,home,away
113.85,116,116.5,133,away,away
115.08,105,110.04,112,home,away
112.78,99,117.02,120,away,away
119.33,110,107.96,105,home,home
117.27,118,116.52,116,home,home
110.76,113,112.64,104,away,home
112.63,105,117.02,118,away,away
117.36,122,115.81,133,home,away
124.84,114,113.21,95,home,home
101.74,109,106.17,126,away,away
108.57,112,110.57,113,away,away
121.5,124,118.73,111,home,home
114.11,113,107.68,106,home,home
104.02,101,108.1,104,away,away
109.79,120,113.64,125,away,away
116.54,118,119.4,130,away,away
115.72,112,111.68,102,home,home
114.67,132,119.68,129,away,home
118.06,120,109.51,134,home,away
114.31,120,105.13,113,home,home
117.45,110,113.38,121,home,away
117.08,129,115.44,115,home,home
118.16,119,116.87,126,home,away
106.49,120,123.66,128,away,away
111.04,111,123.05,128,away,away
119.91,108,104.79,110,home,away
113.05,110,118.78,146,away,away
113.71,112,109.95,95,home,home
111.64,95,117.17,103,away,away
121.02,135,112.16,119,home,home
116.36,118,109.77,110,home,home
112.15,129,114.65,93,away,home
104.59,111,97.67,116,home,away
110.42,121,114.43,118,away,home
112.55,101,112.85,103,away,away
115.53,109,108.03,118,home,away
118.53,130,110.65,117,home,home
102.75,99,116.77,110,away,away
108.34,94,114.67,103,away,away
116.51,113,110.64,122,home,away
108.88,114,108.87,94,home,home
113.91,120,106.37,108,home,home
113.16,121,116.49,105,away,home
117.86,147,110.44,97,home,home
111.61,131,107.32,98,home,home
115.05,95,112.45,109,home,away
114.64,129,115.64,107,away,home
105.48,96,106.53,100,away,away
112.53,118,106.34,100,home,home
114.09,115,108.88,118,home,away
113.3,107,103.54,121,home,away
109.74,105,108.17,100,home,home
118.17,117,112.44,96,home,home
122.33,108,103.96,100,home,home
121.06,126,113.35,136,home,away
111.11,92,106.05,104,home,away
123.61,127,120.45,115,home,home
112.99,123,100.44,85,home,home
